Fecha,CO
2020-04-03,0.4559090909090909
2020-04-04,0.4083333333333334
2020-04-05,0.3529166666666667
2020-04-06,0.33090909090909093
2020-04-07,0.43
2020-04-08,0.44909090909090915
2020-04-09,0.43166666666666664
2020-04-10,0.44083333333333335
2020-04-11,0.345
2020-04-12,0.35375
2020-04-13,0.3325
2020-04-14,0.3879166666666667
2020-04-15,0.4395833333333334
2020-04-16,0.4366666666666667
2020-04-17,0.47875
2020-04-18,0.48
2020-04-19,0.47583333333333333
2020-04-20,0.29
2020-05-08,0.873125
2020-05-09,0.6220833333333333
2020-05-10,0.19875
2020-05-11,0.26875
2020-05-12,0.21083333333333332
2020-05-13,0.19416666666666668
2020-05-14,0.28958333333333336
2020-05-15,0.24500000000000002
2020-05-16,0.24541666666666664
2020-05-17,0.27208333333333334
2020-05-18,0.26
2020-05-19,0.2975
2020-05-20,0.2733333333333333
2020-05-21,0.22958333333333333
2020-05-22,0.17416666666666666
2020-05-23,0.14083333333333334
2020-05-24,0.03833333333333334
2020-05-25,0.375
2020-05-26,0.2657142857142857
2020-06-04,0.812142857142857
2020-06-05,0.9920833333333333
2020-06-06,0.48333333333333334
2020-06-07,0.4254166666666667
2020-06-08,0.4275
2020-06-09,1.1516666666666666
2020-06-10,1.9450000000000003
2020-06-11,0.072
2020-06-12,0.3318181818181818
2020-06-13,0.5337500000000001
2020-06-14,0.5558333333333333
2020-06-15,0.288125
2020-06-16,1.1333333333333333
2020-06-17,0.1142857142857143
2020-06-18,0.07846153846153846
2020-06-19,0.5366666666666666
2020-06-20,0.775
2020-06-21,0.6633333333333333
2020-06-22,0.7145
2020-06-23,1.1025
2020-06-24,0.7512500000000001
2020-06-25,0.5690000000000001
2020-06-26,0.566
2020-06-27,0.19722222222222222
2020-06-28,0.1111111111111111
2020-06-29,0.6323529411764706
2020-06-30,0.5783333333333334
2020-07-01,0.47125
2020-07-02,0.6041666666666666
2020-07-03,0.745909090909091
2020-07-04,0.6908333333333333
2020-07-05,0.6466666666666666
2020-07-06,0.4808333333333333
2020-07-07,0.3416666666666666
2020-07-08,0.33875000000000005
2020-07-09,0.46375000000000005
2020-07-10,0.5650000000000001
2020-07-11,0.56875
2020-07-12,0.5187499999999999
2020-07-13,0.25916666666666666
2020-07-14,0.131875
2020-07-15,0.6122222222222222
2020-07-16,0.7133333333333334
2020-07-17,0.6216666666666667
2020-07-18,0.6675
2020-07-19,0.66375
2020-07-20,0.8875000000000001
2020-07-21,0.5008333333333334
2020-07-22,0.68
2020-07-23,0.5845833333333333
2020-07-24,0.54625
2020-07-25,0.5233333333333333
2020-07-26,0.7620833333333333
2020-07-27,0.78875
2020-07-28,0.7799999999999999
2020-07-29,0.6929166666666666
2020-07-30,0.6720833333333333
2020-07-31,0.590625
2020-08-03,0.32538461538461544
2020-08-04,0.7375
2020-08-05,0.6862499999999999
2020-08-06,0.4504166666666667
2020-08-07,0.4708333333333334
2020-08-08,0.3770833333333334
2020-08-09,0.37083333333333335
2020-08-10,0.43166666666666664
2020-08-11,0.38958333333333334
2020-08-12,0.45166666666666666
2020-08-13,0.36333333333333334
2020-08-14,0.5783333333333334
2020-08-15,0.42791666666666667
2020-08-16,0.26333333333333336
2020-08-17,0.3958333333333333
2020-08-18,0.39375
2020-08-19,0.3725
2020-08-20,0.3104166666666667
2020-08-21,0.30541666666666667
2020-08-22,0.28583333333333333
2020-08-23,0.115
2020-08-24,0.07208333333333333
2020-08-25,0.13166666666666668
2020-08-26,0.1225
2020-08-27,0.17666666666666667
2020-08-28,0.16
2020-08-29,0.10416666666666667
2020-08-30,0.0325
2020-08-31,0.0775
2020-09-01,0.07500000000000001
2020-09-02,0.11
2020-09-03,0.14315789473684212
2020-09-18,0.3453846153846154
2020-09-19,0.29045454545454547
2020-09-20,0.2147826086956522
2020-09-21,0.27789473684210525
2020-09-22,0.6647058823529413
2020-09-23,0.8157142857142856
2020-09-24,0.735
2020-09-25,0.734
2020-09-26,0.7242105263157894
2020-09-27,0.6995454545454546
2020-09-28,0.6673684210526316
2020-09-29,0.8920833333333333
2020-09-30,1.0920833333333333
2020-10-01,1.0887499999999999
2020-10-02,0.9120833333333334
2020-10-03,0.8370833333333333
2020-10-04,0.9410526315789474
2020-10-05,0.9725
2020-10-06,0.9695833333333334
