Fecha,NO
2018-11-20,10.333333333333334
2018-11-21,9.916666666666666
2018-11-22,8.208333333333334
2018-11-23,7.125
2018-11-24,4.875
2018-11-25,4.708333333333333
2018-11-26,6.75
2018-11-27,8.375
2018-11-28,3.75
2018-11-29,7.583333333333333
2018-11-30,7.291666666666666
2018-12-02,4.75
2018-12-03,11.625000000000002
2018-12-04,13.291666666666666
2018-12-05,9.166666666666666
2018-12-06,9.166666666666666
2018-12-07,8.041666666666668
2018-12-08,7.583333333333333
2018-12-09,5.916666666666666
2018-12-10,13.375
2018-12-11,10.875000000000002
2018-12-12,6.166666666666667
2018-12-13,9.958333333333332
2018-12-14,11.000000000000002
2018-12-15,12.666666666666666
2018-12-16,6.875
2018-12-17,6.791666666666667
2018-12-18,5.666666666666667
2018-12-19,6.249999999999999
2018-12-20,12.833333333333334
2018-12-21,8.875
2018-12-22,6.916666666666665
2018-12-23,4.416666666666667
2018-12-24,7.916666666666667
2018-12-25,2.5833333333333335
2018-12-26,6.375
2018-12-27,7.583333333333333
2018-12-28,8.666666666666666
2018-12-29,8.75
2018-12-30,6.458333333333333
2018-12-31,5.708333333333333
2019-03-02,9.979166666666666
2019-03-03,8.604166666666666
2019-03-04,8.375
2019-03-05,9.5625
2019-03-06,11.604166666666668
2019-03-07,11.520833333333334
2019-03-08,10.541666666666666
2019-03-09,9.625
2019-03-10,9.083333333333334
2019-03-11,9.208333333333334
2019-03-12,9.041666666666666
2019-03-13,7.934782608695652
2019-03-14,8.791666666666666
2019-03-15,10.145833333333334
2019-03-16,11.208333333333334
2019-03-17,8.541666666666666
2019-03-18,7.541666666666666
2019-03-19,8.416666666666668
2019-03-20,8.458333333333334
2019-03-21,9.729166666666668
2019-03-22,9.0
2019-03-23,8.083333333333332
2019-03-24,7.520833333333333
2019-03-25,9.888888888888888
2019-03-26,10.770833333333334
2019-03-27,10.229166666666666
2019-03-28,9.791666666666668
2019-03-29,9.395833333333334
2019-03-30,10.125
2019-03-31,9.5
2019-04-02,9.958333333333332
2019-04-03,9.729166666666668
2019-04-04,11.041666666666666
2019-04-05,11.583333333333334
2019-04-06,11.645833333333332
2019-04-07,9.895833333333332
2019-04-08,11.000000000000002
2019-04-09,11.791666666666666
2019-04-10,10.395833333333334
2019-04-11,11.208333333333334
2019-04-12,9.791666666666666
2019-04-13,8.458333333333334
2019-04-14,10.145833333333334
2019-04-15,10.0625
2019-04-16,9.604166666666668
2019-04-17,10.166666666666666
2019-04-18,10.125
2019-04-19,9.375
2019-04-20,9.0625
2019-04-21,8.104166666666668
2019-04-22,9.145833333333334
2019-04-23,9.6875
2019-04-24,9.854166666666666
2019-04-25,10.625
2019-04-26,11.000000000000002
2019-04-27,10.916666666666666
2019-04-28,10.520833333333334
2019-04-29,11.500000000000002
2019-04-30,11.729166666666666
2019-05-02,9.229166666666666
2019-05-03,8.208333333333334
2019-05-04,8.604166666666666
2019-05-05,6.5625
2019-05-06,7.458333333333333
2019-05-07,9.520833333333334
2019-05-08,8.416666666666666
2019-05-09,8.479166666666666
2019-05-10,8.020833333333332
2019-05-11,9.916666666666668
2019-05-12,8.125
2019-05-13,8.645833333333334
2019-05-14,7.391304347826088
2019-05-15,8.416666666666666
2019-05-16,7.8125
2019-05-17,8.5
2019-05-18,9.395833333333334
2019-05-19,8.645833333333334
2019-05-20,8.3125
2019-05-21,7.958333333333333
2019-05-22,8.25
2019-05-23,9.25
2019-05-24,7.395833333333333
2019-05-25,8.25
2019-05-26,5.854166666666667
2019-05-27,5.999999999999999
2019-05-28,7.291666666666666
2019-05-29,7.187499999999999
2019-05-30,6.8125
2019-05-31,7.9375
2019-06-02,7.354166666666666
2019-06-03,7.208333333333333
2019-06-04,7.041666666666668
2019-06-05,8.666666666666666
2019-06-06,10.0625
2019-06-07,9.229166666666666
2019-06-08,7.125
2019-06-09,7.020833333333334
2019-06-10,8.354166666666668
2019-06-11,6.9375
