Fecha,Temperatura,RelativeHumidity,SolarRadiation,Rainfall,WindDirection,PM10,PM2.5,O3,CO,NO,NO2,SO2
2018-06-13,18.454166666666666,76.625,112.08333333333331,0.25,217.0,0.0,,,,5.291666666666667,,
2018-06-14,19.10833333333333,74.08333333333333,232.0,3.01,15.0,0.0,-1.3333333333333333,,,4.083333333333334,,
2018-06-15,19.004166666666663,75.79166666666667,130.79166666666666,0.16,213.0,0.0,,,,7.375,,
2018-06-16,20.008333333333333,71.95833333333333,192.75,0.06,47.0,0.0,,,,4.333333333333333,,
2018-06-17,19.6875,70.83333333333333,201.79166666666663,1.46,138.0,0.0,,,,2.5416666666666665,,
2018-06-18,17.837500000000002,80.79166666666667,119.75,0.28,0.0,0.0,,,,4.708333333333333,,
2018-06-19,17.445833333333333,79.75,145.41666666666666,0.62,202.0,0.0,,,,3.708333333333333,,
2018-06-20,18.23333333333333,68.83333333333333,217.41666666666663,0.11,161.0,0.0,,,,3.333333333333333,,
2018-06-21,18.654166666666665,65.33333333333333,230.0,0.25,126.0,0.0,,,,5.833333333333334,,
2018-06-22,19.954166666666666,58.958333333333336,317.25,,121.0,0.0,,,,4.333333333333333,,
2018-06-23,19.675,65.04166666666667,269.75,1.13,217.0,0.0,,,,3.5,,
2018-06-24,19.0375,68.0,236.5,0.14,1.0,0.0,,,,3.6666666666666665,,
2018-06-25,18.27083333333333,73.375,175.33333333333334,0.3999999999999999,222.0,0.0,,,,7.416666666666666,,
2018-06-26,18.591666666666665,73.20833333333333,179.54166666666666,0.1399999999999999,196.0,0.0,,,,4.791666666666667,,
2018-06-27,19.54583333333333,67.29166666666667,235.95833333333331,0.5,81.0,0.0,,,,3.416666666666667,,
2018-06-28,19.379166666666663,69.20833333333333,171.41666666666666,0.03,37.0,0.0,,,,3.0000000000000004,,
2018-06-29,19.33333333333333,67.375,260.5,0.9,82.0,0.0,-1.0,,,3.375,,
2018-06-30,19.52083333333333,65.58333333333333,293.5,1.3199999999999998,4.0,0.0,,,,4.458333333333333,,
2018-07-01,19.40833333333333,65.5,281.4583333333333,0.12,196.0,0.0,,,,,,
2018-07-02,19.89583333333333,62.66666666666666,246.33333333333331,0.02,11.0,0.0,,,,4.0,,
2018-07-03,19.48333333333333,62.5,231.95833333333331,0.0699999999999999,122.0,0.0,,,,3.6666666666666665,,
