O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
43.2,OK,4.06,OK,0.2,BDL,0.24,OK,7.79,OK,6.73,OK,13.57,97.9,1.775,2.509,287.5,16.42,0.1,808.553,,2023,9,1,23,44
56.98,OK,3.9,OK,0.2,BDL,0.37,OK,47.44,OK,37.82,OK,20.37,66.39,1.988,2.263,174.5,5.411,0.1,804.511,37.2,2023,5,21,17,44
42.61,OK,1.72,OK,0.2,BDL,0.22,OK,16.16,OK,19.15,OK,15.51,93.0,2.516,2.755,339.1,11.94,0.1,806.806,,2023,9,4,0,23
34.22,OK,2.67,OK,0.2,BDL,0.22,OK,15.96,OK,20.4,OK,17.19,83.0,1.968,2.273,111.9,8.36,0.1,807.265,0.415,2023,9,5,21,53
50.73,OK,3.22,OK,0.2,BDL,0.08,OK,20.97,OK,2.0,BDL,18.15,76.31,4.338,7.127,227.7,8.33,0.1,804.494,21.16,2023,7,3,17,58
23.95,OK,5.54,OK,0.2,BDL,0.4,OK,8.0,OK,13.91,OK,16.09,97.3,1.683,2.12,112.0,7.514,0.1,810.138,,2023,7,25,22,49
22.3,OK,4.12,OK,0.2,BDL,0.5,OK,2.0,BDL,17.14,OK,10.25,89.8,3.893,4.905,257.7,9.68,0.1,806.458,,2024,2,16,20,17
47.76,OK,2.7,OK,0.2,BDL,0.06,OK,25.26,OK,27.41,OK,18.72,80.5,4.231,4.813,232.4,17.57,0.1,805.998,155.0,2023,7,22,13,30
24.05,OK,2.95,OK,0.2,BDL,0.34,OK,18.03,OK,11.58,OK,19.47,78.81,3.76,3.983,31.72,5.341,0.3,806.227,10.14,2023,8,5,18,54
30.09,OK,5.25,OK,0.2,BDL,0.1,OK,19.81,OK,2.0,BDL,15.6,97.1,0.876,0.983,305.1,2.805,0.1,806.322,,2023,7,7,1,27
47.2,OK,1.61,OK,0.2,BDL,0.07,OK,18.78,OK,5.97,OK,16.22,85.0,3.852,5.612,217.4,23.16,0.2,806.995,4.379,2023,7,6,23,35
49.65,OK,2.38,OK,0.2,BDL,0.05,OK,25.8,OK,27.98,OK,18.94,78.77,4.014,4.997,236.7,8.82,0.1,806.041,156.4,2023,7,22,13,29
33.04,OK,2.8,OK,0.2,BDL,0.13,OK,12.57,OK,4.46,OK,16.01,92.1,0.239,0.676,314.8,7.186,0.1,807.938,,2023,7,22,22,48
28.12,OK,3.63,OK,0.2,BDL,0.36,OK,14.17,OK,13.3,OK,16.25,94.5,2.012,2.212,187.6,14.04,0.1,810.185,0.184,2023,7,25,22,25
21.7,OK,3.89,OK,0.2,BDL,0.49,OK,2.0,BDL,18.18,OK,10.24,91.8,1.212,2.191,178.4,16.4,0.1,806.424,,2024,2,16,20,25
54.04,OK,1.43,OK,0.2,BDL,0.24,OK,18.59,OK,22.35,OK,15.67,83.4,1.946,2.038,3.43,7.939,0.1,807.035,,2023,6,28,0,36
25.54,OK,7.43,OK,0.2,BDL,0.1,OK,9.08,OK,17.34,OK,15.73,97.1,1.062,1.147,30.48,12.46,0.1,809.185,,2023,7,18,1,45
13.36,OK,3.12,OK,0.2,BDL,0.24,OK,7.03,OK,6.11,OK,15.97,96.8,0.0,0.0,0.0,0.0,0.1,803.513,,2023,10,9,22,0
24.12,OK,8.1,OK,0.2,BDL,0.33,OK,2.0,BDL,2.0,BDL,14.73,94.9,1.592,1.69,0.022,7.479,0.1,807.797,0.784,2023,8,3,1,13
